product_id,product_name,product_price,reviews,created_by,Environmental Impact,Labor Rights,Animal Welfare,Corporate Governance
EL100010,Electronics Ago 10,428.37,"Build quality feels cheap. | Compact design and very lightweight. | Connectivity issues with Wi-Fi and Bluetooth. | Battery life is excellent and long-lasting. | Performance is smooth and fast. | Great value for the price, highly recommend. | Stopped working after a few weeks. | Overheats quickly after continuous use. | Very easy to set up and operate. | Display is sharp and vibrant. | Exceeded my expectations, fantastic product. | Poor sound quality, not satisfied.",Fox-Marsh,31,34,40,88
EL100011,Electronics Whether 11,458.98,"Exceeded my expectations, fantastic product. | Great value for the price, highly recommend. | Connectivity issues with Wi-Fi and Bluetooth. | Very easy to set up and operate. | Stopped working after a few weeks. | Overheats quickly after continuous use. | Poor sound quality, not satisfied. | Compact design and very lightweight. | Performance is smooth and fast. | Build quality feels cheap.",Bennett-Dorsey,27,23,36,89
EL100012,Electronics Suddenly 12,138.04,"Poor sound quality, not satisfied. | Build quality feels cheap. | Exceeded my expectations, fantastic product. | Performance is smooth and fast. | Connectivity issues with Wi-Fi and Bluetooth. | Overheats quickly after continuous use. | Great value for the price, highly recommend. | Battery life is excellent and long-lasting. | Very easy to set up and operate. | Compact design and very lightweight.","Mack, Choi and Wolf",93,98,74,22
EL100013,Electronics Like 13,857.52,"Great value for the price, highly recommend. | Stopped working after a few weeks. | Overheats quickly after continuous use. | Very easy to set up and operate. | Performance is smooth and fast. | Connectivity issues with Wi-Fi and Bluetooth. | Compact design and very lightweight. | Poor sound quality, not satisfied. | Build quality feels cheap. | Exceeded my expectations, fantastic product. | Display is sharp and vibrant.",Ward-Shelton,35,81,25,68
EL100014,Electronics Form 14,895.87,"Overheats quickly after continuous use. | Compact design and very lightweight. | Exceeded my expectations, fantastic product. | Very easy to set up and operate. | Battery life is excellent and long-lasting. | Build quality feels cheap. | Performance is smooth and fast. | Display is sharp and vibrant. | Great value for the price, highly recommend. | Stopped working after a few weeks.",Thomas-Ford,71,23,54,61
EL100015,Electronics Morning 15,814.04,"Build quality feels cheap. | Performance is smooth and fast. | Connectivity issues with Wi-Fi and Bluetooth. | Poor sound quality, not satisfied. | Very easy to set up and operate. | Great value for the price, highly recommend. | Stopped working after a few weeks. | Overheats quickly after continuous use. | Compact design and very lightweight. | Exceeded my expectations, fantastic product. | Battery life is excellent and long-lasting.",Bailey-Miller,45,60,69,43
EL100016,Electronics However 16,741.76,"Stopped working after a few weeks. | Battery life is excellent and long-lasting. | Build quality feels cheap. | Performance is smooth and fast. | Exceeded my expectations, fantastic product. | Poor sound quality, not satisfied. | Great value for the price, highly recommend. | Compact design and very lightweight. | Very easy to set up and operate. | Display is sharp and vibrant.",Mccullough-Brown,27,92,56,63
EL100017,Electronics Federal 17,388.52,"Performance is smooth and fast. | Overheats quickly after continuous use. | Exceeded my expectations, fantastic product. | Connectivity issues with Wi-Fi and Bluetooth. | Build quality feels cheap. | Stopped working after a few weeks. | Battery life is excellent and long-lasting. | Display is sharp and vibrant. | Very easy to set up and operate. | Compact design and very lightweight. | Great value for the price, highly recommend.",Lloyd Ltd,64,74,32,20
EL100018,Electronics Sort 18,623.5,"Very easy to set up and operate. | Great value for the price, highly recommend. | Performance is smooth and fast. | Poor sound quality, not satisfied. | Overheats quickly after continuous use. | Battery life is excellent and long-lasting. | Connectivity issues with Wi-Fi and Bluetooth. | Build quality feels cheap. | Compact design and very lightweight. | Stopped working after a few weeks. | Display is sharp and vibrant. | Exceeded my expectations, fantastic product.",Young-Lang,100,47,44,73
EL100019,Electronics Include 19,113.38,"Poor sound quality, not satisfied. | Compact design and very lightweight. | Battery life is excellent and long-lasting. | Exceeded my expectations, fantastic product. | Performance is smooth and fast. | Build quality feels cheap. | Display is sharp and vibrant. | Very easy to set up and operate. | Connectivity issues with Wi-Fi and Bluetooth. | Stopped working after a few weeks. | Great value for the price, highly recommend.","Nelson, Garcia and Curry",38,66,20,71
EL100020,Electronics Natural 20,468.82,"Great value for the price, highly recommend. | Build quality feels cheap. | Stopped working after a few weeks. | Compact design and very lightweight. | Poor sound quality, not satisfied. | Battery life is excellent and long-lasting. | Display is sharp and vibrant. | Exceeded my expectations, fantastic product. | Performance is smooth and fast. | Very easy to set up and operate. | Overheats quickly after continuous use.","Aguilar, Vargas and Miller",36,28,68,55
EL100021,Electronics Song 21,775.19,"Performance is smooth and fast. | Very easy to set up and operate. | Stopped working after a few weeks. | Exceeded my expectations, fantastic product. | Great value for the price, highly recommend. | Overheats quickly after continuous use. | Connectivity issues with Wi-Fi and Bluetooth. | Battery life is excellent and long-lasting. | Build quality feels cheap. | Poor sound quality, not satisfied.",Johnson-Wilcox,84,21,54,98
EL100022,Electronics Traditional 22,662.47,"Display is sharp and vibrant. | Build quality feels cheap. | Very easy to set up and operate. | Battery life is excellent and long-lasting. | Connectivity issues with Wi-Fi and Bluetooth. | Compact design and very lightweight. | Great value for the price, highly recommend. | Stopped working after a few weeks. | Overheats quickly after continuous use. | Performance is smooth and fast. | Poor sound quality, not satisfied.",Smith-Gutierrez,48,86,72,57
EL100023,Electronics Mother 23,84.57,"Performance is smooth and fast. | Exceeded my expectations, fantastic product. | Display is sharp and vibrant. | Stopped working after a few weeks. | Overheats quickly after continuous use. | Great value for the price, highly recommend. | Compact design and very lightweight. | Battery life is excellent and long-lasting. | Connectivity issues with Wi-Fi and Bluetooth. | Very easy to set up and operate. | Poor sound quality, not satisfied. | Build quality feels cheap.","Ward, Lee and House",33,67,71,63
EL100024,Electronics Traditional 24,630.19,"Very easy to set up and operate. | Stopped working after a few weeks. | Build quality feels cheap. | Exceeded my expectations, fantastic product. | Overheats quickly after continuous use. | Compact design and very lightweight. | Display is sharp and vibrant. | Battery life is excellent and long-lasting. | Connectivity issues with Wi-Fi and Bluetooth. | Poor sound quality, not satisfied.",Nixon-Leblanc,36,88,73,66
EL100025,Electronics Than 25,748.91,"Exceeded my expectations, fantastic product. | Display is sharp and vibrant. | Very easy to set up and operate. | Stopped working after a few weeks. | Compact design and very lightweight. | Build quality feels cheap. | Connectivity issues with Wi-Fi and Bluetooth. | Overheats quickly after continuous use. | Great value for the price, highly recommend. | Poor sound quality, not satisfied.","Brewer, Lee and Moore",32,93,95,48
EL100026,Electronics Yard 26,995.32,"Compact design and very lightweight. | Build quality feels cheap. | Battery life is excellent and long-lasting. | Exceeded my expectations, fantastic product. | Overheats quickly after continuous use. | Great value for the price, highly recommend. | Performance is smooth and fast. | Very easy to set up and operate. | Poor sound quality, not satisfied. | Display is sharp and vibrant.",Murphy-Waters,82,47,66,70
EL100027,Electronics Its 27,834.55,"Compact design and very lightweight. | Poor sound quality, not satisfied. | Exceeded my expectations, fantastic product. | Battery life is excellent and long-lasting. | Connectivity issues with Wi-Fi and Bluetooth. | Stopped working after a few weeks. | Very easy to set up and operate. | Overheats quickly after continuous use. | Great value for the price, highly recommend. | Performance is smooth and fast. | Display is sharp and vibrant. | Build quality feels cheap.",Underwood-Fox,52,98,62,60
EL100028,Electronics Lead 28,204.26,"Poor sound quality, not satisfied. | Battery life is excellent and long-lasting. | Display is sharp and vibrant. | Performance is smooth and fast. | Compact design and very lightweight. | Very easy to set up and operate. | Stopped working after a few weeks. | Overheats quickly after continuous use. | Exceeded my expectations, fantastic product. | Connectivity issues with Wi-Fi and Bluetooth.",Friedman-Pena,48,33,39,83
EL100029,Electronics Would 29,879.04,"Connectivity issues with Wi-Fi and Bluetooth. | Very easy to set up and operate. | Overheats quickly after continuous use. | Build quality feels cheap. | Poor sound quality, not satisfied. | Great value for the price, highly recommend. | Display is sharp and vibrant. | Compact design and very lightweight. | Performance is smooth and fast. | Battery life is excellent and long-lasting. | Stopped working after a few weeks.",Hobbs Ltd,56,65,52,67
EL100030,Electronics To 30,787.4,"Very easy to set up and operate. | Poor sound quality, not satisfied. | Overheats quickly after continuous use. | Battery life is excellent and long-lasting. | Connectivity issues with Wi-Fi and Bluetooth. | Exceeded my expectations, fantastic product. | Performance is smooth and fast. | Compact design and very lightweight. | Build quality feels cheap. | Display is sharp and vibrant. | Great value for the price, highly recommend. | Stopped working after a few weeks.",Goodwin-Gordon,65,32,35,96
EL100031,Electronics Later 31,463.01,"Great value for the price, highly recommend. | Connectivity issues with Wi-Fi and Bluetooth. | Overheats quickly after continuous use. | Very easy to set up and operate. | Performance is smooth and fast. | Poor sound quality, not satisfied. | Compact design and very lightweight. | Build quality feels cheap. | Stopped working after a few weeks. | Battery life is excellent and long-lasting.",Lopez PLC,43,35,97,41
EL100032,Electronics Reach 32,396.27,"Very easy to set up and operate. | Compact design and very lightweight. | Exceeded my expectations, fantastic product. | Display is sharp and vibrant. | Poor sound quality, not satisfied. | Stopped working after a few weeks. | Overheats quickly after continuous use. | Build quality feels cheap. | Great value for the price, highly recommend. | Connectivity issues with Wi-Fi and Bluetooth. | Battery life is excellent and long-lasting. | Performance is smooth and fast.",Hodge-Beck,33,59,26,36
EL100033,Electronics Live 33,151.68,"Build quality feels cheap. | Stopped working after a few weeks. | Battery life is excellent and long-lasting. | Display is sharp and vibrant. | Poor sound quality, not satisfied. | Great value for the price, highly recommend. | Performance is smooth and fast. | Overheats quickly after continuous use. | Very easy to set up and operate. | Exceeded my expectations, fantastic product. | Compact design and very lightweight.",Turner-Taylor,24,91,89,24
EL100034,Electronics Attack 34,342.32,"Battery life is excellent and long-lasting. | Very easy to set up and operate. | Overheats quickly after continuous use. | Build quality feels cheap. | Stopped working after a few weeks. | Compact design and very lightweight. | Poor sound quality, not satisfied. | Display is sharp and vibrant. | Exceeded my expectations, fantastic product. | Great value for the price, highly recommend. | Connectivity issues with Wi-Fi and Bluetooth.","Fisher, Nichols and Martin",72,100,40,80
EL100035,Electronics Remain 35,614.07,"Poor sound quality, not satisfied. | Exceeded my expectations, fantastic product. | Display is sharp and vibrant. | Overheats quickly after continuous use. | Very easy to set up and operate. | Build quality feels cheap. | Great value for the price, highly recommend. | Stopped working after a few weeks. | Performance is smooth and fast. | Battery life is excellent and long-lasting.",Wilson-Santiago,49,49,55,25
EL100036,Electronics Game 36,714.52,"Battery life is excellent and long-lasting. | Build quality feels cheap. | Overheats quickly after continuous use. | Very easy to set up and operate. | Compact design and very lightweight. | Connectivity issues with Wi-Fi and Bluetooth. | Display is sharp and vibrant. | Performance is smooth and fast. | Exceeded my expectations, fantastic product. | Great value for the price, highly recommend.",Carpenter and Sons,79,100,73,72
EL100037,Electronics Organization 37,646.04,"Compact design and very lightweight. | Performance is smooth and fast. | Great value for the price, highly recommend. | Stopped working after a few weeks. | Display is sharp and vibrant. | Exceeded my expectations, fantastic product. | Overheats quickly after continuous use. | Build quality feels cheap. | Poor sound quality, not satisfied. | Very easy to set up and operate. | Battery life is excellent and long-lasting.",Roberts PLC,92,84,38,100
EL100038,Electronics Plant 38,73.22,"Great value for the price, highly recommend. | Display is sharp and vibrant. | Very easy to set up and operate. | Compact design and very lightweight. | Build quality feels cheap. | Overheats quickly after continuous use. | Exceeded my expectations, fantastic product. | Battery life is excellent and long-lasting. | Stopped working after a few weeks. | Performance is smooth and fast. | Connectivity issues with Wi-Fi and Bluetooth.",Ellis-Martin,47,77,44,36
EL100039,Electronics Million 39,12.47,"Battery life is excellent and long-lasting. | Build quality feels cheap. | Display is sharp and vibrant. | Exceeded my expectations, fantastic product. | Stopped working after a few weeks. | Connectivity issues with Wi-Fi and Bluetooth. | Very easy to set up and operate. | Performance is smooth and fast. | Overheats quickly after continuous use. | Poor sound quality, not satisfied. | Great value for the price, highly recommend. | Compact design and very lightweight.","Cordova, Holmes and Freeman",45,67,86,78
EL100040,Electronics When 40,825.81,"Performance is smooth and fast. | Overheats quickly after continuous use. | Poor sound quality, not satisfied. | Build quality feels cheap. | Stopped working after a few weeks. | Very easy to set up and operate. | Display is sharp and vibrant. | Exceeded my expectations, fantastic product. | Great value for the price, highly recommend. | Compact design and very lightweight. | Connectivity issues with Wi-Fi and Bluetooth. | Battery life is excellent and long-lasting.","Robinson, Avery and Jones",37,68,72,58
EL100041,Electronics Difference 41,202.85,"Exceeded my expectations, fantastic product. | Very easy to set up and operate. | Great value for the price, highly recommend. | Display is sharp and vibrant. | Connectivity issues with Wi-Fi and Bluetooth. | Build quality feels cheap. | Battery life is excellent and long-lasting. | Overheats quickly after continuous use. | Stopped working after a few weeks. | Poor sound quality, not satisfied.",Burton Ltd,55,21,94,73
EL100042,Electronics Throw 42,192.06,"Performance is smooth and fast. | Exceeded my expectations, fantastic product. | Overheats quickly after continuous use. | Compact design and very lightweight. | Very easy to set up and operate. | Connectivity issues with Wi-Fi and Bluetooth. | Build quality feels cheap. | Stopped working after a few weeks. | Great value for the price, highly recommend. | Battery life is excellent and long-lasting.",Watson-Kent,27,33,67,67
EL100043,Electronics Garden 43,476.46,"Poor sound quality, not satisfied. | Overheats quickly after continuous use. | Build quality feels cheap. | Exceeded my expectations, fantastic product. | Performance is smooth and fast. | Very easy to set up and operate. | Battery life is excellent and long-lasting. | Great value for the price, highly recommend. | Display is sharp and vibrant. | Connectivity issues with Wi-Fi and Bluetooth.",Thornton-Paul,37,36,61,56
EL100044,Electronics Upon 44,847.61,"Stopped working after a few weeks. | Connectivity issues with Wi-Fi and Bluetooth. | Overheats quickly after continuous use. | Compact design and very lightweight. | Build quality feels cheap. | Poor sound quality, not satisfied. | Great value for the price, highly recommend. | Display is sharp and vibrant. | Battery life is excellent and long-lasting. | Performance is smooth and fast. | Exceeded my expectations, fantastic product.",Ho and Sons,77,50,66,67
EL100045,Electronics Spring 45,428.6,"Connectivity issues with Wi-Fi and Bluetooth. | Performance is smooth and fast. | Poor sound quality, not satisfied. | Stopped working after a few weeks. | Build quality feels cheap. | Display is sharp and vibrant. | Overheats quickly after continuous use. | Very easy to set up and operate. | Exceeded my expectations, fantastic product. | Battery life is excellent and long-lasting. | Compact design and very lightweight. | Great value for the price, highly recommend.","Thompson, Garcia and Richard",51,29,61,87
EL100046,Electronics Single 46,417.03,"Great value for the price, highly recommend. | Poor sound quality, not satisfied. | Overheats quickly after continuous use. | Very easy to set up and operate. | Battery life is excellent and long-lasting. | Exceeded my expectations, fantastic product. | Build quality feels cheap. | Connectivity issues with Wi-Fi and Bluetooth. | Performance is smooth and fast. | Display is sharp and vibrant. | Compact design and very lightweight.",Chang-Heath,68,89,21,97
EL100047,Electronics Prove 47,752.9,"Connectivity issues with Wi-Fi and Bluetooth. | Great value for the price, highly recommend. | Exceeded my expectations, fantastic product. | Compact design and very lightweight. | Build quality feels cheap. | Stopped working after a few weeks. | Performance is smooth and fast. | Display is sharp and vibrant. | Very easy to set up and operate. | Poor sound quality, not satisfied. | Overheats quickly after continuous use.",Chung Ltd,67,56,25,96
EL100048,Electronics Sign 48,331.5,"Build quality feels cheap. | Poor sound quality, not satisfied. | Battery life is excellent and long-lasting. | Performance is smooth and fast. | Display is sharp and vibrant. | Connectivity issues with Wi-Fi and Bluetooth. | Great value for the price, highly recommend. | Compact design and very lightweight. | Exceeded my expectations, fantastic product. | Overheats quickly after continuous use.",Alvarado-Patterson,90,83,65,46
EL100049,Electronics Front 49,859.92,"Poor sound quality, not satisfied. | Build quality feels cheap. | Exceeded my expectations, fantastic product. | Battery life is excellent and long-lasting. | Great value for the price, highly recommend. | Display is sharp and vibrant. | Stopped working after a few weeks. | Compact design and very lightweight. | Very easy to set up and operate. | Overheats quickly after continuous use. | Performance is smooth and fast. | Connectivity issues with Wi-Fi and Bluetooth.","Ortega, Gutierrez and Evans",84,49,85,46
EL100050,Electronics Blood 50,879.68,"Exceeded my expectations, fantastic product. | Build quality feels cheap. | Performance is smooth and fast. | Stopped working after a few weeks. | Very easy to set up and operate. | Compact design and very lightweight. | Connectivity issues with Wi-Fi and Bluetooth. | Poor sound quality, not satisfied. | Overheats quickly after continuous use. | Great value for the price, highly recommend. | Battery life is excellent and long-lasting. | Display is sharp and vibrant.","Lucas, Lee and Cole",52,53,100,91
EL100051,Electronics Thousand 51,136.79,"Display is sharp and vibrant. | Compact design and very lightweight. | Very easy to set up and operate. | Build quality feels cheap. | Connectivity issues with Wi-Fi and Bluetooth. | Battery life is excellent and long-lasting. | Stopped working after a few weeks. | Great value for the price, highly recommend. | Performance is smooth and fast. | Overheats quickly after continuous use. | Poor sound quality, not satisfied.",Powers-Garcia,69,37,59,82
EL100052,Electronics System 52,368.47,"Build quality feels cheap. | Performance is smooth and fast. | Stopped working after a few weeks. | Overheats quickly after continuous use. | Compact design and very lightweight. | Poor sound quality, not satisfied. | Exceeded my expectations, fantastic product. | Great value for the price, highly recommend. | Very easy to set up and operate. | Battery life is excellent and long-lasting.","Foster, Juarez and Blackwell",23,82,77,71
EL100053,Electronics Energy 53,840.76,"Connectivity issues with Wi-Fi and Bluetooth. | Great value for the price, highly recommend. | Battery life is excellent and long-lasting. | Compact design and very lightweight. | Stopped working after a few weeks. | Overheats quickly after continuous use. | Exceeded my expectations, fantastic product. | Performance is smooth and fast. | Display is sharp and vibrant. | Very easy to set up and operate.","Mcfarland, Davenport and Liu",55,68,97,66
EL100054,Electronics Walk 54,244.01,"Very easy to set up and operate. | Poor sound quality, not satisfied. | Connectivity issues with Wi-Fi and Bluetooth. | Exceeded my expectations, fantastic product. | Compact design and very lightweight. | Performance is smooth and fast. | Overheats quickly after continuous use. | Build quality feels cheap. | Display is sharp and vibrant. | Battery life is excellent and long-lasting.",Howard-Farrell,47,75,93,40
EL100055,Electronics Change 55,72.25,"Display is sharp and vibrant. | Stopped working after a few weeks. | Compact design and very lightweight. | Poor sound quality, not satisfied. | Overheats quickly after continuous use. | Great value for the price, highly recommend. | Build quality feels cheap. | Battery life is excellent and long-lasting. | Performance is smooth and fast. | Exceeded my expectations, fantastic product. | Connectivity issues with Wi-Fi and Bluetooth. | Very easy to set up and operate.","Johnson, Riley and Guerrero",22,77,52,76
EL100056,Electronics Along 56,604.8,"Build quality feels cheap. | Very easy to set up and operate. | Overheats quickly after continuous use. | Exceeded my expectations, fantastic product. | Display is sharp and vibrant. | Compact design and very lightweight. | Great value for the price, highly recommend. | Stopped working after a few weeks. | Battery life is excellent and long-lasting. | Performance is smooth and fast.","Johnson, Armstrong and Williams",25,46,81,94
EL100057,Electronics Myself 57,992.71,"Very easy to set up and operate. | Connectivity issues with Wi-Fi and Bluetooth. | Exceeded my expectations, fantastic product. | Build quality feels cheap. | Stopped working after a few weeks. | Display is sharp and vibrant. | Compact design and very lightweight. | Great value for the price, highly recommend. | Battery life is excellent and long-lasting. | Poor sound quality, not satisfied.",Jones-Snyder,64,74,31,61
EL100058,Electronics Keep 58,596.77,"Compact design and very lightweight. | Very easy to set up and operate. | Display is sharp and vibrant. | Overheats quickly after continuous use. | Stopped working after a few weeks. | Poor sound quality, not satisfied. | Great value for the price, highly recommend. | Battery life is excellent and long-lasting. | Performance is smooth and fast. | Build quality feels cheap. | Exceeded my expectations, fantastic product. | Connectivity issues with Wi-Fi and Bluetooth.",Gibson Inc,42,38,68,67
EL100059,Electronics Read 59,580.36,"Stopped working after a few weeks. | Battery life is excellent and long-lasting. | Connectivity issues with Wi-Fi and Bluetooth. | Great value for the price, highly recommend. | Display is sharp and vibrant. | Poor sound quality, not satisfied. | Compact design and very lightweight. | Build quality feels cheap. | Overheats quickly after continuous use. | Exceeded my expectations, fantastic product.",Coleman Inc,26,42,97,46
EL100060,Electronics Third 60,625.5,"Display is sharp and vibrant. | Battery life is excellent and long-lasting. | Build quality feels cheap. | Great value for the price, highly recommend. | Very easy to set up and operate. | Overheats quickly after continuous use. | Connectivity issues with Wi-Fi and Bluetooth. | Stopped working after a few weeks. | Performance is smooth and fast. | Exceeded my expectations, fantastic product. | Compact design and very lightweight.","Silva, Watson and Carlson",80,66,24,91
EL100061,Electronics Professional 61,638.73,"Very easy to set up and operate. | Battery life is excellent and long-lasting. | Overheats quickly after continuous use. | Stopped working after a few weeks. | Compact design and very lightweight. | Exceeded my expectations, fantastic product. | Display is sharp and vibrant. | Build quality feels cheap. | Performance is smooth and fast. | Great value for the price, highly recommend.",Mckay LLC,84,98,70,52
EL100062,Electronics Rock 62,490.78,"Performance is smooth and fast. | Overheats quickly after continuous use. | Exceeded my expectations, fantastic product. | Great value for the price, highly recommend. | Poor sound quality, not satisfied. | Compact design and very lightweight. | Very easy to set up and operate. | Stopped working after a few weeks. | Display is sharp and vibrant. | Build quality feels cheap. | Connectivity issues with Wi-Fi and Bluetooth.","Barnes, Mcpherson and Davis",25,85,88,95
EL100063,Electronics Deal 63,147.54,"Poor sound quality, not satisfied. | Compact design and very lightweight. | Very easy to set up and operate. | Great value for the price, highly recommend. | Exceeded my expectations, fantastic product. | Stopped working after a few weeks. | Connectivity issues with Wi-Fi and Bluetooth. | Build quality feels cheap. | Overheats quickly after continuous use. | Performance is smooth and fast. | Battery life is excellent and long-lasting. | Display is sharp and vibrant.","Curtis, Hoover and Ward",43,70,51,54
EL100064,Electronics Fast 64,163.23,"Great value for the price, highly recommend. | Very easy to set up and operate. | Stopped working after a few weeks. | Poor sound quality, not satisfied. | Performance is smooth and fast. | Compact design and very lightweight. | Connectivity issues with Wi-Fi and Bluetooth. | Battery life is excellent and long-lasting. | Build quality feels cheap. | Display is sharp and vibrant. | Overheats quickly after continuous use. | Exceeded my expectations, fantastic product.","Lowe, Lewis and Adams",56,47,68,35
EL100065,Electronics Theory 65,662.74,"Compact design and very lightweight. | Overheats quickly after continuous use. | Exceeded my expectations, fantastic product. | Very easy to set up and operate. | Battery life is excellent and long-lasting. | Display is sharp and vibrant. | Connectivity issues with Wi-Fi and Bluetooth. | Poor sound quality, not satisfied. | Performance is smooth and fast. | Build quality feels cheap.","Roberson, Martinez and Stephens",64,76,79,55
EL100066,Electronics Item 66,586.32,"Great value for the price, highly recommend. | Display is sharp and vibrant. | Compact design and very lightweight. | Stopped working after a few weeks. | Performance is smooth and fast. | Overheats quickly after continuous use. | Poor sound quality, not satisfied. | Very easy to set up and operate. | Build quality feels cheap. | Exceeded my expectations, fantastic product. | Connectivity issues with Wi-Fi and Bluetooth.","Anderson, Jones and Cohen",70,77,65,85
EL100067,Electronics Push 67,571.57,"Stopped working after a few weeks. | Battery life is excellent and long-lasting. | Great value for the price, highly recommend. | Performance is smooth and fast. | Display is sharp and vibrant. | Poor sound quality, not satisfied. | Compact design and very lightweight. | Connectivity issues with Wi-Fi and Bluetooth. | Build quality feels cheap. | Exceeded my expectations, fantastic product. | Very easy to set up and operate. | Overheats quickly after continuous use.",Miller-Johnson,64,34,87,95
EL100068,Electronics Brother 68,202.13,"Very easy to set up and operate. | Great value for the price, highly recommend. | Build quality feels cheap. | Connectivity issues with Wi-Fi and Bluetooth. | Battery life is excellent and long-lasting. | Compact design and very lightweight. | Display is sharp and vibrant. | Stopped working after a few weeks. | Exceeded my expectations, fantastic product. | Overheats quickly after continuous use.",Frederick-Henderson,82,35,60,75
EL100069,Electronics Art 69,923.6,"Connectivity issues with Wi-Fi and Bluetooth. | Display is sharp and vibrant. | Compact design and very lightweight. | Overheats quickly after continuous use. | Build quality feels cheap. | Poor sound quality, not satisfied. | Great value for the price, highly recommend. | Very easy to set up and operate. | Stopped working after a few weeks. | Battery life is excellent and long-lasting. | Exceeded my expectations, fantastic product. | Performance is smooth and fast.",Shaw-Castro,48,66,100,36
EL100070,Electronics Find 70,199.38,"Poor sound quality, not satisfied. | Connectivity issues with Wi-Fi and Bluetooth. | Great value for the price, highly recommend. | Very easy to set up and operate. | Exceeded my expectations, fantastic product. | Performance is smooth and fast. | Display is sharp and vibrant. | Stopped working after a few weeks. | Overheats quickly after continuous use. | Compact design and very lightweight. | Build quality feels cheap. | Battery life is excellent and long-lasting.","Rodriguez, Nguyen and Pittman",44,82,86,39
